(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(270)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(902)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(972)), {C=0.0009086188992731048, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1050)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1092)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1333)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1419)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1465)), {C=0.000778816199376947, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1468)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(270)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(322)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(349)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(765)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(892)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(902)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(972)), {C=0.0009086188992731048, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1050)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1092)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1333)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1419)), {C=0.0006490134994807892, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1465)), {C=0.000778816199376947, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1468)), {C=0.0006490134994807892, S=0.00048633401420095323}
