(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(66)), {C=0.0007373854419045612, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1479)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1483)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(66)), {C=0.0007373854419045612, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(116)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(213)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(358)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(388)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(389)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(412)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(415)), {C=0.0006320446644896239, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(482)), {C=0.0006320446644896239, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(519)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(556)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(570)), {C=0.0006320446644896239, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(572)), {C=0.0006320446644896239, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(685)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(688)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(706)), {C=0.0006320446644896239, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(957)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(987)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(993)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1018)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1086)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1100)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1140)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1173)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1208)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1226)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1356)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1380)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1419)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1452)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1479)), {C=0.0005267038870746866, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1483)), {C=0.0005267038870746866, S=0.00048633401420095323}
