(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(53)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(181)), {C=0.0006176652254478072, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(335)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(384)), {C=0.0006176652254478072, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(418)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(424)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(440)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(521)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(542)), {C=0.0007206094296891085, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(562)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(606)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(611)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(649)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(782)), {C=0.0006176652254478072, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(793)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(818)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(820)), {C=0.0008235536339304098, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(882)), {C=0.0006176652254478072, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(914)), {C=0.0006176652254478072, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(928)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(933)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(948)), {C=0.0007206094296891085, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(964)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(984)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1163)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1192)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1222)), {C=0.0006176652254478072, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1378)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1407)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1427)), {C=0.0005147210212065062, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1452)), {C=0.0005147210212065062, S=0.00048633401420095323}
