(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1417)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006091370558375635, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1447)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0006091370558375635, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(353)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0006091370558375635, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(482)), {C=0.0006091370558375635, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0006091370558375635, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(824)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(996)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1136)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1163)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0007106598984771574, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1417)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006091370558375635, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1447)), {C=0.0005076142131979696, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0006091370558375635, S=0.0005836008170411438}
