(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(38)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(224)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(361)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(394)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(396)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(447)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(490)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(501)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(517)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(546)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(634)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(644)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(839)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(921)), {C=0.0008087343307723412, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1044)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1143)), {C=0.0008087343307723412, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1197)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1394)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1426)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1445)), {C=0.0006739452756436178, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1526)), {C=0.0006739452756436178, S=0.00048633401420095323}
