(buy(1360)) --> (buy(118)), {C=0.10526315789473682, S=0.0005836008170411438}
(buy(1360)) --> (buy(139)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(417)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(497)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(541)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(545)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(745)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(851)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(1013)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(1061)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(1405)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1360)) --> (buy(1433)), {C=0.08771929824561403, S=0.00048633401420095323}
