(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(38)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(998)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1005)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1036)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1059)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1063)), {C=0.001055269753330695, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1098)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1101)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1126)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1160)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1175)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1235)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1266)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1267)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1289)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1302)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1309)), {C=0.001055269753330695, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1344)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1366)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1391)), {C=0.0009233610341643581, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1407)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1409)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1421)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1432)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1485)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1495)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1520)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1533)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(38)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(67)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(133)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(135)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(150)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(158)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(221)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(242)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(254)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(258)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(263)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(289)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(307)), {C=0.001187178472497032, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(313)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(331)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(333)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(340)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(343)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(347)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(352)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(390)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(393)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(424)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(431)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(443)), {C=0.0009233610341643581, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(463)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(483)), {C=0.001055269753330695, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(491)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(529)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(546)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(551)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(568)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(581)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(585)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(617)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(629)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(648)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(660)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(670)), {C=0.0009233610341643581, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(673)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(684)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(708)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(719)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(774)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(778)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(779)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(805)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(814)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(815)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(834)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(836)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(837)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(891)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(897)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(901)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(905)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(910)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(920)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(928)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(956)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(967)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(969)), {C=0.0009233610341643581, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(976)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(998)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1005)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1036)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1059)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1063)), {C=0.001055269753330695, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1098)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1101)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1126)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1160)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1175)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1235)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1266)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1267)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1289)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1302)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1309)), {C=0.001055269753330695, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1344)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1366)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1391)), {C=0.0009233610341643581, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1407)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1409)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1421)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1432)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1485)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1495)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1520)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1533)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(38)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(67)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(133)), {C=0.0007914523149980213, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(135)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(150)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(158)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(221)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(242)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(254)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(258)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(263)), {C=0.0006595435958316845, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(289)), {C=0.0007914523149980213, S=0.0005836008170411438}
