(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(26)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(70)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(148)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(174)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(296)), {C=0.0006064281382656154, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(358)), {C=0.0006064281382656154, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(390)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(410)), {C=0.0006064281382656154, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(436)), {C=0.0006064281382656154, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(447)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(564)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(573)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(587)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(595)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(604)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(693)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(825)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1012)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1207)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1366)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1467)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1527)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(26)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(70)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(148)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(174)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(296)), {C=0.0006064281382656154, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(358)), {C=0.0006064281382656154, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(390)), {C=0.000505356781888013, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(410)), {C=0.0006064281382656154, S=0.0005836008170411438}
