(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(39)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(778)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(815)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(838)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(873)), {C=0.0008494114791894186, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(920)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(928)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(956)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1048)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1100)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1106)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1118)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1141)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1171)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1194)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1213)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1305)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1397)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1410)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1416)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1450)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1465)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1530)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(39)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(90)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(104)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(135)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(269)), {C=0.0009707559762164785, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(336)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(368)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(463)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(543)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(597)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(617)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(660)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(674)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(681)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(684)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(778)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(815)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(838)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(873)), {C=0.0008494114791894186, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(920)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(928)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(956)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1048)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1100)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1106)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1118)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1141)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1171)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1194)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1213)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1305)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1397)), {C=0.0007280669821623588, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1410)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1416)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1450)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1465)), {C=0.0006067224851352991, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden)) --> (buy(1530)), {C=0.0006067224851352991, S=0.00048633401420095323}
