(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(17)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(195)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0006155108740254411, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(497)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(608)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(609)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.0006155108740254411, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(668)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.0006155108740254411, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(837)), {C=0.0006155108740254411, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(928)), {C=0.0006155108740254411, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1045)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1063)), {C=0.0008206811653672549, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1213)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1357)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1500)), {C=0.0005129257283545343, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(1525)), {C=0.0005129257283545343, S=0.00048633401420095323}
