(country(USA))(buy(1172)) --> (buy(24)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(70)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(86)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1172)) --> (buy(174)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(242)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(334)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(1172)) --> (buy(344)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(363)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1172)) --> (buy(419)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(679)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1172)) --> (buy(690)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(719)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(869)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(972)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(1062)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(1070)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1172)) --> (buy(1185)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1172)) --> (buy(1388)), {C=0.0006794401413235494, S=0.00048633401420095323}
