(country(USA))(buy(1251)) --> (buy(21)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(138)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(419)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(446)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1251)) --> (buy(502)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(519)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(1251)) --> (buy(535)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(617)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(629)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(634)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(641)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(679)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(746)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1251)) --> (buy(1001)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1251)) --> (buy(1062)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(1124)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(1378)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1251)) --> (buy(1501)), {C=0.0006794401413235494, S=0.00048633401420095323}
