(country(USA))(buy(1188)) --> (buy(13)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(46)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1188)) --> (buy(398)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(455)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(568)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(727)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(805)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(833)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(988)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(995)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(1254)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(1292)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1188)) --> (buy(1426)), {C=0.0006794401413235494, S=0.00048633401420095323}
