(country(USA))(buy(1477)) --> (buy(202)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(356)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(368)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(391)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(392)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(434)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(462)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(514)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(541)), {C=0.0010871042261176792, S=0.0007781344227215252}
(country(USA))(buy(1477)) --> (buy(629)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(718)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(1477)) --> (buy(734)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(832)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1477)) --> (buy(851)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(946)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1477)) --> (buy(1107)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(1130)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1477)) --> (buy(1267)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1477)) --> (buy(1420)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1477)) --> (buy(1470)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1477)) --> (buy(1501)), {C=0.0008153281695882593, S=0.0005836008170411438}
