(country(USA))(buy(62)) --> (buy(222)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(62)) --> (buy(295)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(62)) --> (buy(389)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(62)) --> (buy(428)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(62)) --> (buy(442)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(62)) --> (buy(460)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(62)) --> (buy(505)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(62)) --> (buy(872)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(62)) --> (buy(951)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(62)) --> (buy(968)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(62)) --> (buy(1370)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(62)) --> (buy(1392)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(62)) --> (buy(1467)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(62)) --> (buy(1471)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(62)) --> (buy(1554)), {C=0.0006794401413235494, S=0.00048633401420095323}
