(country(USA))(buy(1250)) --> (buy(164)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1250)) --> (buy(353)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(445)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(591)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(674)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(679)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(730)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(1233)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(1246)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1250)) --> (buy(1249)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(1339)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(1394)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1250)) --> (buy(1539)), {C=0.0006794401413235494, S=0.00048633401420095323}
