(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(7)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1032)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1037)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1042)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1055)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1092)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1218)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1329)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1352)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1354)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1435)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1509)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(7)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(42)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(96)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(226)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(261)), {C=0.000960746637386769, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(269)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(271)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(292)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(340)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(350)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(390)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(457)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(502)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(536)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(543)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.000960746637386769, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(673)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(784)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(830)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(897)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(972)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1018)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1019)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1029)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1032)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1037)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1042)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1055)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1092)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1218)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1329)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1352)), {C=0.0008234971177600877, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1354)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1435)), {C=0.0006862475981334065, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1509)), {C=0.0008234971177600877, S=0.0005836008170411438}
