(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(7)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(28)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(36)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(70)), {C=0.0009352037408149632, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(227)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(312)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(376)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(422)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(465)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(469)), {C=0.0009352037408149632, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(519)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(532)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(556)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(564)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(584)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(592)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(642)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(650)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(663)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(681)), {C=0.0009352037408149632, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(706)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(727)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(805)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(827)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(856)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(860)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(883)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(887)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(894)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(923)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(982)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(992)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1041)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1045)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1048)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1084)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1100)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1132)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1136)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1206)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1227)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1234)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1239)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1286)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1324)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1337)), {C=0.0009352037408149632, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1370)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1419)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1437)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(7)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(28)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(36)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(70)), {C=0.0009352037408149632, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(227)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(312)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(376)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(422)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(465)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(469)), {C=0.0009352037408149632, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(519)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(532)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(556)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(564)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(584)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(592)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(642)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(650)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(663)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(681)), {C=0.0009352037408149632, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(706)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(727)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(805)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(827)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(856)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(860)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(883)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(887)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(894)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(923)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(982)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(992)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1041)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1045)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1048)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1084)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1100)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1132)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1136)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1206)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1227)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1234)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1239)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1286)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1324)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1337)), {C=0.0009352037408149632, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1370)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1419)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1437)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0006680026720106881, S=0.00048633401420095323}
