(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(59)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1532)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1558)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(59)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(179)), {C=0.0006943640782316862, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(223)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(269)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(270)), {C=0.0006943640782316862, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(271)), {C=0.0006943640782316862, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(298)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(344)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(406)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(475)), {C=0.0006943640782316862, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(502)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(593)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(617)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(639)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(688)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(692)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(765)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(784)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(787)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(842)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(892)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(928)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(958)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(972)), {C=0.0006943640782316862, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(985)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1032)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1050)), {C=0.0006943640782316862, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0008100914246036338, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1124)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1129)), {C=0.0006943640782316862, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1270)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1333)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1411)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1446)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1532)), {C=0.0005786367318597385, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1558)), {C=0.0005786367318597385, S=0.00048633401420095323}
