(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(388)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(682)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(964)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1309)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0006927606511950121, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0006927606511950121, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0008082207597275141, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(388)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(682)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(964)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1309)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0006927606511950121, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0006927606511950121, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005773005426625102, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0008082207597275141, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005773005426625102, S=0.00048633401420095323}
