(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(135)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(873)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(920)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(928)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(956)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(1118)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(1141)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(1194)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(135)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(269)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(336)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(681)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(815)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(838)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(873)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(920)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(928)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(956)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(1118)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(1141)), {C=0.0005308982798895731, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Golden))(house_owner(Y)) --> (buy(1194)), {C=0.0005308982798895731, S=0.00048633401420095323}
