(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(37)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(45)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(86)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(112)), {C=0.0007171029042667622, S=0.0005836008170411438}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(163)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(229)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(275)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(304)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(307)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(407)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(415)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(428)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(522)), {C=0.0007171029042667622, S=0.0005836008170411438}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(568)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(595)), {C=0.0007171029042667622, S=0.0005836008170411438}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(603)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(605)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(640)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(696)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(836)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(848)), {C=0.0009561372056890165, S=0.0007781344227215252}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(856)), {C=0.0007171029042667622, S=0.0005836008170411438}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(867)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(892)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(912)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(948)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(972)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(988)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1007)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1031)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1071)), {C=0.0010756543564001434, S=0.0008754012255617158}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1077)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1169)), {C=0.0007171029042667622, S=0.0005836008170411438}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1190)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1217)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1229)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1251)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1340)), {C=0.0007171029042667622, S=0.0005836008170411438}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1363)), {C=0.0005975857535556353, S=0.00048633401420095323}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1403)), {C=0.0008366200549778893, S=0.0006808676198813345}
(gender(Female))(member card(Silver))(house_owner(Y)) --> (buy(1485)), {C=0.0005975857535556353, S=0.00048633401420095323}
