(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(107)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(270)), {C=0.0009852216748768472, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(271)), {C=0.0009852216748768472, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(292)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(358)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(434)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(475)), {C=0.0008444757213230119, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(688)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(696)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(808)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(830)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1044)), {C=0.0008444757213230119, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1050)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1092)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1124)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1270)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1275)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1411)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(107)), {C=0.0007037297677691766, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(270)), {C=0.0009852216748768472, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(271)), {C=0.0009852216748768472, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(292)), {C=0.0007037297677691766, S=0.00048633401420095323}
