(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(29)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(48)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(180)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(301)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(334)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(374)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(395)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(441)), {C=0.0006724949562878277, S=0.0005836008170411438}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(487)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(582)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(586)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(597)), {C=0.0006724949562878277, S=0.0005836008170411438}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(730)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(855)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(897)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(928)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(941)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(959)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(965)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(968)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(978)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1048)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1247)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1330)), {C=0.0006724949562878277, S=0.0005836008170411438}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1420)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1488)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1491)), {C=0.0007845774490024657, S=0.0006808676198813345}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1493)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1535)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1544)), {C=0.0005604124635731899, S=0.00048633401420095323}
(country(USA))(education(Graduate Degree))(marital_status(M)) --> (buy(1545)), {C=0.0006724949562878277, S=0.0005836008170411438}
