(country(USA))(buy(44)) --> (buy(55)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(371)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(400)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(404)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(410)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(466)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(516)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(526)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(626)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(653)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(44)) --> (buy(718)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(880)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(903)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(44)) --> (buy(926)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(44)) --> (buy(963)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(44)) --> (buy(975)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(980)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(1126)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(1236)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(1353)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(1417)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(1529)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(44)) --> (buy(1548)), {C=0.0006794401413235494, S=0.00048633401420095323}
