(country(USA))(buy(481)) --> (buy(27)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(481)) --> (buy(497)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(554)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(481)) --> (buy(637)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(481)) --> (buy(648)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(481)) --> (buy(710)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(797)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(808)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(874)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(481)) --> (buy(952)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(1001)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(1107)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(1124)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(1179)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(1230)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(481)) --> (buy(1357)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(1428)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(1436)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(1446)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(481)) --> (buy(1463)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(481)) --> (buy(1536)), {C=0.0006794401413235494, S=0.00048633401420095323}
