(country(USA))(buy(448)) --> (buy(45)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(448)) --> (buy(59)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(71)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(255)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(365)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(438)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(448)) --> (buy(554)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(448)) --> (buy(558)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(448)) --> (buy(563)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(565)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(651)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(731)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(448)) --> (buy(758)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(798)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(809)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(831)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(448)) --> (buy(947)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(448)) --> (buy(1021)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(1022)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(1373)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(448)) --> (buy(1511)), {C=0.0006794401413235494, S=0.00048633401420095323}
