(country(USA))(buy(1322)) --> (buy(230)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(337)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(437)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(473)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(586)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(605)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(623)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(807)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(840)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(979)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(1041)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(1231)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(1246)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1322)) --> (buy(1401)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1322)) --> (buy(1405)), {C=0.0006794401413235494, S=0.00048633401420095323}
