(country(USA))(buy(1179)) --> (buy(170)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(453)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(481)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(503)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(590)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(604)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(670)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(723)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1179)) --> (buy(830)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(1179)) --> (buy(869)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(925)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1179)) --> (buy(929)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1179)) --> (buy(946)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1179)) --> (buy(947)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(1058)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(1212)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(1401)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(1428)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1179)) --> (buy(1448)), {C=0.0006794401413235494, S=0.00048633401420095323}
