(country(USA))(buy(1528)) --> (buy(313)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1528)) --> (buy(413)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1528)) --> (buy(442)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1528)) --> (buy(836)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1528)) --> (buy(852)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1528)) --> (buy(991)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1528)) --> (buy(1002)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1528)) --> (buy(1079)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1528)) --> (buy(1372)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1528)) --> (buy(1488)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1528)) --> (buy(1550)), {C=0.0008153281695882593, S=0.0005836008170411438}
