(country(USA))(buy(570)) --> (buy(126)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(293)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(337)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(393)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(460)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(570)) --> (buy(466)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(514)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(898)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(914)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(570)) --> (buy(1036)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(570)) --> (buy(1086)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(1186)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(1336)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(1384)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(1392)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(1439)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(570)) --> (buy(1471)), {C=0.0006794401413235494, S=0.00048633401420095323}
