(country(USA))(buy(1384)) --> (buy(80)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(86)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1384)) --> (buy(436)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(460)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(482)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(508)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(525)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(570)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(596)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1384)) --> (buy(608)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(726)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(765)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(825)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(874)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(908)), {C=0.0010871042261176792, S=0.0007781344227215252}
(country(USA))(buy(1384)) --> (buy(933)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(947)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1384)) --> (buy(952)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(1089)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(1284)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(1301)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1384)) --> (buy(1357)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(1368)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(1392)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(1446)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1384)) --> (buy(1507)), {C=0.0006794401413235494, S=0.00048633401420095323}
