(buy(1557)) --> (buy(338)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1557)) --> (buy(355)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1557)) --> (buy(488)), {C=0.12962962962962962, S=0.0006808676198813345}
(buy(1557)) --> (buy(522)), {C=0.12962962962962962, S=0.0006808676198813345}
(buy(1557)) --> (buy(905)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1557)) --> (buy(974)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1557)) --> (buy(1174)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1557)) --> (buy(1374)), {C=0.0925925925925926, S=0.00048633401420095323}
(buy(1557)) --> (buy(1453)), {C=0.12962962962962962, S=0.0006808676198813345}
